a,origin,destination,requirement_status,requirement
1,Afghanistan,Albania,0,visa_required
2,Afghanistan,Algeria,0,visa_required
3,Afghanistan,Andorra,0,visa_required
4,Afghanistan,Angola,1,visa_on_arrival
5,Afghanistan,Antigua and Barbuda,0,visa_required
6,Afghanistan,Argentina,0,visa_required
7,Afghanistan,Armenia,0,visa_required
8,Afghanistan,Australia,0,visa_required
9,Afghanistan,Austria,0,visa_required
10,Afghanistan,Azerbaijan,0,visa_required
11,Afghanistan,Bahamas,0,visa_required
12,Afghanistan,Bahrain,0,visa_required
13,Afghanistan,Bangladesh,1,visa_on_arrival
14,Afghanistan,Barbados,0,visa_required
15,Afghanistan,Belarus,0,visa_required
16,Afghanistan,Belgium,0,visa_required
17,Afghanistan,Belize,0,visa_required
18,Afghanistan,Benin,0,visa_required
19,Afghanistan,Bhutan,0,visa_required
20,Afghanistan,Bolivia,1,visa_on_arrival
21,Afghanistan,Bosnia and Herzegovina,0,visa_required
22,Afghanistan,Botswana,0,visa_required
23,Afghanistan,Brazil,0,visa_required
24,Afghanistan,Brunei,0,visa_required
25,Afghanistan,Bulgaria,0,visa_required
26,Afghanistan,Burkina Faso,0,visa_required
27,Afghanistan,Burundi,1,visa_on_arrival
28,Afghanistan,Cambodia,1,visa_on_arrival
29,Afghanistan,Cameroon,0,visa_required
30,Afghanistan,Canada,0,visa_required
31,Afghanistan,Cape Verde,1,visa_on_arrival
32,Afghanistan,Central African Republic,0,visa_required
33,Afghanistan,Chad,0,visa_required
34,Afghanistan,Chile,0,visa_required
35,Afghanistan,China,0,visa_required
36,Afghanistan,Colombia,0,visa_required
37,Afghanistan,Comoros,1,visa_on_arrival
38,Afghanistan,Congo [Republic],0,visa_required
39,Afghanistan,Congo [DRC],1,visa_on_arrival
40,Afghanistan,Costa Rica,0,visa_required
41,Afghanistan,Côte d'Ivoire,3,eta
42,Afghanistan,Croatia,0,visa_required
43,Afghanistan,Cuba,0,visa_required
44,Afghanistan,Cyprus,0,visa_required
45,Afghanistan,Czech Republic,0,visa_required
46,Afghanistan,Denmark,0,visa_required
47,Afghanistan,Djibouti,1,visa_on_arrival
48,Afghanistan,Dominica,2,visa_free
49,Afghanistan,Dominican Republic,0,visa_required
50,Afghanistan,Ecuador,0,visa_required
51,Afghanistan,Egypt,0,visa_required
52,Afghanistan,El Salvador,0,visa_required
53,Afghanistan,Equatorial Guinea,0,visa_required
54,Afghanistan,Eritrea,0,visa_required
55,Afghanistan,Estonia,0,visa_required
56,Afghanistan,Eswatini,0,visa_required
57,Afghanistan,Ethiopia,1,visa_on_arrival
58,Afghanistan,Fiji,0,visa_required
59,Afghanistan,Finland,0,visa_required
60,Afghanistan,France,0,visa_required
61,Afghanistan,Gabon,1,visa_on_arrival
62,Afghanistan,Gambia,0,visa_required
63,Afghanistan,Georgia,0,visa_required
64,Afghanistan,Germany,0,visa_required
65,Afghanistan,Ghana,0,visa_required
66,Afghanistan,Greece,0,visa_required
67,Afghanistan,Grenada,0,visa_required
68,Afghanistan,Guatemala,0,visa_required
69,Afghanistan,Guinea,1,visa_on_arrival
70,Afghanistan,Guinea-Bissau,0,visa_required
71,Afghanistan,Guyana,0,visa_required
72,Afghanistan,Haiti,2,visa_free
73,Afghanistan,Honduras,0,visa_required
74,Afghanistan,Hong Kong,0,visa_required
75,Afghanistan,Hungary,0,visa_required
76,Afghanistan,Iceland,0,visa_required
77,Afghanistan,India,1,visa_on_arrival
78,Afghanistan,Indonesia,0,visa_required
79,Afghanistan,Iran,0,visa_required
80,Afghanistan,Iraq,0,visa_required
81,Afghanistan,Ireland,0,visa_required
82,Afghanistan,Israel,0,visa_required
83,Afghanistan,Italy,0,visa_required
84,Afghanistan,Jamaica,0,visa_required
85,Afghanistan,Japan,0,visa_required
